Word,Description
A (prn),"he, she, it; him, her; his, her, its"
A (prn),use to denote a person’s belonging or position
A bangkhai (v),"remainder, extra, surplus"
A bawplawk (v),to misinterpret someone’s speech or to misconstrue whichever is possible
A bila tho lo (adj),wrong from the beginning
A biling a balang (n),with heads and tail
A budel (n),the weakest of a pack or family
A bukim (n),"complete, the full amount"
A bul (n),"beginning, origin"
A châng châng (adv),once in a while
A châng chângin (adv),sometimes
A chepakaiin (adv),"from the root words, from the beginning in more details"
A chu (conj),"although, even though, though"
A chuong a liem (n),"extra, surplus, remainder"
A chuong a liemin (adv),"redundantly, superfluously"
A dang dang (n),"etcetera, and all that, and so on, etc"
A dang dangah (adv),in different places
A dawt dawtin (adv),"one after another, one by one"
A dung a khang (adv),length and breadth
A fur a thral (adv),in all season
A haihu lai (phrase),the early stage and while it is on
A hângin (adv),plain and simple; without any other added extra items
A hmatiemin (adv),step by step
A hming mang mang (adv),just for the namesake
A hnar keitu (n),"the leader, the precursor"
A hranpa (n),"a separate, distinct, special one"
A hrim hrim thuah (adv),"whatever be the case, nevertheless, apart from all other"
A hring a hro (adj),without refurbish or as it is
A hun (adj),"enough, adequate"
A huntawk chie (adj),"exactly enough, just enough"
A huou huou (n),"those related more with social entertainments, pomp and gaiety"
A kaikuongpa (n),the main culprit or accused in any trouble or problem or issue
A khelneng a kholnong (adv),"every nook and corner, every rhymes and reasons"
A kimchangin (adv),in detail
A kip a kawi (adv),in detail
A kul a taiin (adv),diligently
A lailung (adv),the middle
A lang a changin (adv),"openly, publicly"
A letlingin (adv),"on the other way, upside down, inside out"
A lungthu kimin (phrase),to be complete in all respect just like the three head stone slap of a Hmar hearth
A maka makin (adv),"wonderfully, amazingly, terribly"
A mik a mak (adv),the rhymes and reasons
A ngai (n),the same
A ngai ngaiin (adv),exactly the same way
A ngaina hrie (v),to know the ways and means
A ngiel a nganin (adv),"frankly, outspokenly, without hiding anything"
A ni el thei (adv),"possibly, perhaps"
A ni leh thla a dang nawh (phrase),used to express a short period of time
A ni telin (adv),day by day (on the negative side)
A nih (prn),it is
A nuhmei a pasalin (adv),"all irrespective of gender, everyone"
A pangngai char (adv),"exactly the same, similar in all aspects"
A pawng a puiin (adv),"violently, forcefully, with all means"
A phuk a phak hre lo (phrase),"one who knows very less, ignorant about what is going around"
A poi naw ie (adv),"it does not matter, never mind, it is OK"
A poimaw (n),important
A pui a chal (adj),"male and female, one and all, all sexes"
A pumin (adv),"wholly, entirely"
A pung umin (v),with interest when borrowing money or taking loan
A puopa (adj),"duplicate, spurious, pseudo"
A rinum le anhoi a khom (adv),"in good or in bad time, in pleasant or unpleasant time"
A ru inlang rawtin (phrase),to express or explain everything without hiding anything
A ruk a ral (adv),secretly
A sang tel (adv),by thousands
A sanga sang (adv),in thousands
A sase (n),"the real thing, the main job, the actual time and things to be done"
A ser laia mei ang (phrase),which is always available or present like the tails in ‘saser’
A sie a thra (adj),"good and bad, all things"
A singa sing (adv),in tens of thousands
A siruk lak (n),the final assault in games - reel or real life (derived from one of the latter but most severe and violent norwesters (storm or hurricane) of India and Bangladesh that synchronize with the heliacal setting of the Pleiades)
A suk a tung (adv),"uphill and downhill, up and down"
A sun a zan (adv),day and night without a break
A sur a sa (adv),in rain and sunshine
A ta (n),"his, belongs to him/her"
A tar a zûr (n),"young and old, everyone"
A tawi zawngin (adv),"in short, briefly"
A tawp (n),the end
A tawp rawt (n),extreme end
A tawpkhawk (adv),"eventually, at the end"
A thei chun (phrase),if it is possible
A thlum a al fa tlang (phrase),"to be together in times of good and bad, to eat together the sweet and salty"
A thren a zar (adj),"some, part"
A thu a hla (n),the main reason
A tir anthok (adv),from the beginning
A tirin (adv),in the beginning
A tlangpui (adj),"in general, approximate"
A tlangpuiin (adv),"generally, approximately"
A tlawm a tam (adj),"small or big, few or more, less or large"
A tum a tlang (n),"plain, nothing particular"
A va poi de (adv),so sorry
A vawtuin ek che (phrase),the one laying the first hand becoming the victim in the end
A zawnin (adv),"twice running, one after another, running in succession"
Abikin (adv),specially
Abiktakin (adv),"especially, particularly"
Absen (v),absent
Addres (n),address
