en,hmr
"he, she, it; him, her; his, her, its",A (prn)
use to denote a person’s belonging or position,A (prn)
"remainder, extra, surplus",A bangkhai (v)
to misinterpret someone’s speech or to misconstrue whichever is possible,A bawplawk (v)
wrong from the beginning,A bila tho lo (adj)
with heads and tail,A biling a balang (n)
the weakest of a pack or family,A budel (n)
"complete, the full amount",A bukim (n)
"beginning, origin",A bul (n)
once in a while,A châng châng (adv)
sometimes,A châng chângin (adv)
"from the root words, from the beginning in more details",A chepakaiin (adv)
"although, even though, though",A chu (conj)
"extra, surplus, remainder",A chuong a liem (n)
"redundantly, superfluously",A chuong a liemin (adv)
"etcetera, and all that, and so on, etc",A dang dang (n)
in different places,A dang dangah (adv)
"one after another, one by one",A dawt dawtin (adv)
length and breadth,A dung a khang (adv)
in all season,A fur a thral (adv)
the early stage and while it is on,A haihu lai (phrase)
plain and simple; without any other added extra items,A hângin (adv)
step by step,A hmatiemin (adv)
just for the namesake,A hming mang mang (adv)
"the leader, the precursor",A hnar keitu (n)
"a separate, distinct, special one",A hranpa (n)
"whatever be the case, nevertheless, apart from all other",A hrim hrim thuah (adv)
without refurbish or as it is,A hring a hro (adj)
"enough, adequate",A hun (adj)
"exactly enough, just enough",A huntawk chie (adj)
"those related more with social entertainments, pomp and gaiety",A huou huou (n)
the main culprit or accused in any trouble or problem or issue,A kaikuongpa (n)
"every nook and corner, every rhymes and reasons",A khelneng a kholnong (adv)
in detail,A kimchangin (adv)
in detail,A kip a kawi (adv)
diligently,A kul a taiin (adv)
the middle,A lailung (adv)
"openly, publicly",A lang a changin (adv)
"on the other way, upside down, inside out",A letlingin (adv)
to be complete in all respect just like the three head stone slap of a Hmar hearth,A lungthu kimin (phrase)
"wonderfully, amazingly, terribly",A maka makin (adv)
the rhymes and reasons,A mik a mak (adv)
the same,A ngai (n)
exactly the same way,A ngai ngaiin (adv)
to know the ways and means,A ngaina hrie (v)
"frankly, outspokenly, without hiding anything",A ngiel a nganin (adv)
"possibly, perhaps",A ni el thei (adv)
used to express a short period of time,A ni leh thla a dang nawh (phrase)
day by day (on the negative side),A ni telin (adv)
it is,A nih (prn)
"all irrespective of gender, everyone",A nuhmei a pasalin (adv)
"exactly the same, similar in all aspects",A pangngai char (adv)
"violently, forcefully, with all means",A pawng a puiin (adv)
"one who knows very less, ignorant about what is going around",A phuk a phak hre lo (phrase)
"it does not matter, never mind, it is OK",A poi naw ie (adv)
important,A poimaw (n)
"male and female, one and all, all sexes",A pui a chal (adj)
"wholly, entirely",A pumin (adv)
with interest when borrowing money or taking loan,A pung umin (v)
"duplicate, spurious, pseudo",A puopa (adj)
