en,hmr
"to serve, to make to eat (mother to a child)",Ba (v)
pale and white in appearance,Ba ek ngo (adj)
baal,Baal (n)
the Hindi term used for calling officers,Babu (n)
"wild coriander, spiny coriander",Bachikhawm (n)
a peanut,Badam (n)
"a Hindi originated term for fare or rent, etc",Bahara (n)
"to be hindered, something which makes one fails to accomplish what one ought to be or accomplish, shortcomings",Bahla (v)
"a hindrance, a hindering interruption",Bahlana (n)
a type of axe,Bahnuk hrei (n)
jungle yam,Bahra (n)
the sweet potato,Bahra thlum (n)
the upper head,Bahrik (n)
the parting of the top hair,Bahriksam (n)
a Hindi originated term for brother,Bai (n)
"lame, to be lame, to walk lamely",Bai (v)
bye-law,Bai law (n)
bye bye,Bai-bai (intjn)
the sprout of edible arum,Baibing (n)
the Bible,Baibul (n)
to be in a dire strait or difficult situation,Baivai (v)
eat,Bak (v)
"that is left unfinished, remaining, left to be done",Bák (v)
a bat,Bâk (n)
"dusk, the period after sunset and total dark",Bâk sie leng hun (n)
someone who roam around with no purpose,Bak sie lenga leng (phrase)
the hair in the region of the temple,Bakbarep (n)
scissor,Bakchep (n)
that refers to those who eat all what they have instead of preserving it for another time like a bat that cannot set aside a winged ant but eats it up all at once,Bakin phuhlum a hla thei nawh (phrase)
literally a fight in which the fighters pull each other’s hair,Bakkei (v)
name of an edible plant,Bakkhate (n)
"hair pin, hair clipper",Bakkil (n)
poetic word for hair,Baksam (n)
"requirement, that is being required",Bâksam (n)
"shortage, deficiency, lack",Bâksamna (n)
"muddy, dirty, filthy, untidy",Bal (adj)
"yam, taro; a term used to refer to stems underneath (onion, potatoes, etc)",Bâl (n)
bulb,Balab (n)
balance,Balens (n)
ballot,Balot (n)
a Hindi originated term for bucket,Baltrin (n)
balloon,Balun (n)
"a post, pole, beam (of house, lamp, electric, etc)",Ban (n)
"to reach out the hand, to stretch, to reach, to arrive",Ban (v)
the arm,Bân (n)
"being dropped or expelled from one’s position, to cease, to stop, to hang up, etc",Bàn (v)
a type of vaccination,Bân ât (n)
to be able to reach,Ban phák (v)
raising of one’s hand,Bân phar (v)
to reach or arrive at the designated target without a stopover,Ban thleng (v)
a bracelet,Bânbun (n)
bundle,Bandal (adj)
bandh,Bandh (n)
"a wall, a partition",Bang (n)
"unclean, rough, soiled",Bang (adj)
"quit, stop, to resign, to discontinue",Bâng (v)
"remnant, remainder, the rest",Bâng (n)
the larva of yam,Bange (n)
"that remain, the leftover",Bangkhai (n)
a species of buffalo,Bangkor (n)
wild coriander also called ‘bachikhawm’,Bangkor (n)
bungalow,Bangla (n)
the name of a bamboo partition in a Hmar house beyond the master’s bed,Banglai (n)
a Hmar Ngurte sub clan,Bangran (n)
the framework of the wall of a house,Bangru (n)
a winged insect irritating to human skin,Bangthak (n)
the perpendicular split bamboos in a mat,Bangtung (n)
the horizontal split bamboos in a mat wall,Bangzâl (n)
the muscle of the upper arm,Bânpuom (n)
the wrist,Bânrêk (n)
"to renounce, to resign, to quit",Bânsan (v)
a variety of wild tree with edible fruit,Bántlang (n)
a Hmar Darngawn sub clan,Banzang (n)
the dry stem of a yam,Bapon (n)
baptise,Baptis (v)
baptised,Baptisma (n)
