en,hmr
a poetical term used to refer to one’s lover,D (n)
"to lose savour, to fade, to lose taste, without savour, faded, pale and lifeless",Da (adj)
"name of a disease (venereal disease), syphillis",Dadu (n)
"a fence, outskirts, a hedge, a wall",Dai (n)
to clear jungle or weeds round a house or village,Dai sam (n)
to separate by a partition,Daidan (v)
partition,Daidanna (n)
"dew, rain water which has settled on leaves",Daidaw (n)
dragonfly,Daidep (n)
"one which is in the interior or remote, not in prominent place",Daikilkar (n)
poetical term for a ‘memorial stone slap in a graveyard’,Dailungrawn (n)
"pulse, lentils, dal",Dailuo (n)
the main pillar of a fence,Daingul (n)
"the outside, the surroundings, the vicinity",Daipuo (n)
poetical term for outskirts,Daire (n)
director,Dairektor (n)
"extreme cold like hailstone, to die down",Dairiel (n)
"to look out (as of a door), to look about one, to look upwards, to raise or lift the head",Dâk (v)
"post, mail",Dâk (n)
post office,Dâk in (n)
envelope,Dâk ip (n)
postman,Dâk pu (n)
"fluent, talkative",Dak thei (adj)
"to raise the eyes or head (after looking down), to look out, etc",Dâksuok (v)
doctor,Daktor (n)
"whitish, weak, wan, watery",Dal (adj)
"pulse, lentils",Dâl (n)
"to keep from, to prevent, to stop, to obstruct",Dâl (v)
"an obstacle, an obstruction",Dâlna (n)
"water dam, water reservoir",Dam (n)
"soft, quiet, calm, slow, not fast, not in hurry; alive, living in good health",Dam (adj)
land sheltered from the sun's rays and is continually damp,Dàm (n)
also,Dàm (cnj)
"not alive, ill, to be ill",Dam lo (v)
"life’s purpose, that which makes life worth",Dam san (n)
what that has not yet arrive or happen and none knowing when it will,Dam sawt nghak thil (phrase)
"gently, slowly, quietly, noiselessly",Dam tein (adv)
medicine,Damdawi (n)
hospital,Damdawi in (n)
"to survive, to remain alive",Damkhawsuok (v)
lifetime,Damlai (v)
"sickness, illness, ailment",Damlona (n)
"ill, dead, to be ill",Damnaw (v)
live long,Damsawt (v)
longevity,Damsawtna (v)
lifetime,Damsung (n)
"a parting words (goodbye, adieu!)",Damtakin aw (n)
"slowly and very slowly, without noise",Damte te’n (adv)
"custom, way, manner, habit, constitution",Dân (n)
breaking the rule or law,Dan bawsie (v)
"law breaker, law violator",Dan bawsietu (n)
"one skilled in the law, a lawyer",Dan hre mi (n)
"in general, rough, approximately",Dan naran (adj)
