en,hmr
gum,Gam (n)
name of tribe,Gangte (n)
"ganja, marijuana",Ganja (n)
garage,Garage (n)
vehicle,Gari (n)
goal,Gawl (n)
goalkeeper,Gawl vengtu (n)
a plain discussion with not much issue,Gawp (v)
a vehicle gear,Gear (n)
gehenna,Gehen (n)
genesis,Genesis (n)
geography,Geography (n)
glass,Gilas (n)
ghee,Giu (n)
golgotha,Golgotha (n)
the golmohur tree,Golmohur (n)
gorilla,Gorilla (n)
gospel,Gospel (n)
governor,Governor (n)
grammar,Grammar (n)
grape,Grep (n)
"winepress, wine vat",Grep sawrna (n)
wine yard,Grephuon (n)
greek,Grik (n)
goonda,Gunda (n)
