en,hmr
"a tooth, the teeth; the edge, the handle of an axe, hammer, hoe, etc",Ha (n)
"brittle teeth, tooth decay",Ha innge (n)
in an angry mood,Ha inza (adj)
to grind the teeth,Ha rawt (v)
to make the teeth on edge,Ha suktrim (v)
that is annoying,Ha sukza (n)
to have the teeth on edge because of eating acidic fruits,Ha trim (v)
habit,Habit (adj)
the fang of a tooth,Habul (n)
sneeze,Hachhiau (v)
"refreshed, to be rested",Hadam (n)
without disturbances,Hadam takin (adv)
refreshing,Hadam thlak (adj)
to speak of with bated breath or in an excited manner,Hahipa hril (v)
to express with lots of enthusiasm,Hahipa hril (v)
the incisor teeth,Hahmai (n)
a plural suffix,Hai (n)
"to be giddy, to be dizzy",Hai (adj)
to be old in age,Hai ang tar (v)
to be popular,Hai ang thang (v)
"to connive at, to pretend not to know, to overlook intentionally",Haider (v)
a variety of mango that bears fruit in autumn,Haifavang (n)
"a water scoop, a mug",Haifien (n)
a curry spoon,Haihaw (n)
a big spoon,Haihawipui (n)
"to be the main decision-maker, to be the winner in an argument",Haihawpui chang (v)
a small spoon,Haihawte (n)
"forgetful, absentminded, to be forgetful",Haihot (adj)
name of a variety of mango,Hailungmawl (n)
a species of large mango,Hairimsie (n)
a variety of wild tree,Haitar (n)
the name of a small species of mango,Haivamim (n)
"to dry with fire, drying up in Hmar traditional fireshelf",Hak (v)
"to put on, to wear (as a coat)",Hâk (v)
"to swallow the wrong way, or so as to choke, to catch one's breath",Hák (v)
one who is aggressive,Hakat (n)
to run out of rice to be dried in fireshelf,Haksam (v)
to have a protruding upper front teeth,Haku (v)
"scold, to abuse, to reproach, upbraid",Hal (v)
"to be at enmity with, to be bitter against, to hate, to have a grudge",Hal (v)
one who is always being scolded,Hal bur (n)
"without enmity, without bitterness, without hate, with peace",Hal lo tein (adv)
name of tribe,Halam (n)
halleluiah,Halleluiah (n)
the diaphragm,Ham (n)
"to claw, to scratch, to gape",Ham (v)
"a caul, membrane, the diaphragm",Hamda (n)
"to be confused, to be at a loss what to do, to lose one's presence of mind",Hamhai (v)
