en,hmr
"you, your, yours",I (prn)
"yours, thine",I ta (prn)
a species of rice,Idaw (n)
not satisfy,Iei (v)
what (interrogative),Iem (prn)
why?,Iem a ti a (prn with interrogation mark)
what?,Iem ie (prn with interrogation mark)
use to denote ‘something’,Iemani (n)
at least something,Iemani bek (n)
"a certain amount, a certain quantity",Iemani zat (adv)
"no reason, nothing",Iemati khom (prn)
why is it?,Iemati lie (prn with interrogation mark)
"nothing more, nothing else",Ieng dang khom (adv)
for what?,Ieng ding am (adv)
why?,Ieng inkhawk am? (phrase)
to behave with pride,Ieng le ang (adj)
whatever,Ieng le khawleh (prn)
why?,Ieng lei am? (phrase)
which one?,Ieng lem am (prn with interrogation mark)
when?,Ieng tik am (phrase)
"at all time, anytime",Ieng tik lai khom (adv)
how?,Ieng tin am (adv with interrogation mark)
for what?,Iengdim (adv with interrogation mark)
nothing,Iengkhom (n)
whatever be the case,Iengkhom nisien (adv)
"uninjured, unharmed, not damaged",Iengkhom ti lo (adv)
nothing,Iengkhomlo (n)
"everything, all kind of, all things",Iengkim (n)
not at any time,Ienglaikhom (adv)
"of no account, for nothing",Iengma lo (adv)
"nothing, worthless",Iengmalo (n)
"by no means, not by any means",Iengtin khom (adv)
"to gainsay, to grumble, to make a fuss",Ihe (v)
without much ado or grumble or hesitation,Ihe lovin (adv)
an edible water plant of the ‘touch me not’ family found in abundance in Manipur valley,Ikaithabi (n)
"to envy, to be jealous of",Ikthik (adj)
enviable,Ikthik um (adj)
jealousy,Ikthikna (n)
sleep,Imu (n)
to be habitually sleepy,Imu du (v)
"heavy sleeper, one who usually sleep long",Imu he (n)
to sleep peacefully,Imu hmu (v)
to not get enough sleep,Imu hmu lo (v)
sleeping peacefully,Imu inden (n)
a sound sleep,Imu inhnik (n)
"wanting to sleep, to feel sleepy",Imu suok (v)
sleepy,Imu suok (adj)
"sleep, sleeping",In (v)
"a house, a home, a shelter",In (n)
an affix indicating the nominative case when the subject is followed by a transitive verb,In (prefix)
"a reflexive pronominal prefix, himself, herself, themselves, etc (keiin/ke’n – by me; nangin = by you)",In (prefix)
"a prefix denoting reciprocity, with one another, one another, each other, etc",In (prefix)
"to cut, a surgical operation",In at (v)
the roof of a house,In chung (n)
"to send away, to let go",In fe tir (v)
"sudden death, to die while sleeping",In hlum (v)
a variety of thorny leaf used as roof in a traditional Hmar village hut,In hna (n)
the name of a game played by boys with ‘pawi’,In hnok (n)
to treat someone free of cost (with eatables or things),In khilai (v)
if we,In la (adverbial suffix)
land and houses,In le lo (n)
one’s house visitor,In leng (n)
one’s own warm house,In lum (n)
in enmity like an eagle and a fowl,In mû le âr (phrase)
census (general census enumerators of pre and post early independent India being semi-illiterate pluck a piece of split bamboo of the front walls of each house they visit. They bind together those little bamboo sticks and took to their headquarters where the number of houses is determined from the number of sticks. The number of members in the house seems to be roughly further calculated from the houses),In rap thliek (n)
to go to sleep while others still lie awake,In san (v)
"a house with storey, the storied house",In sawng (n)
yours (plural),In ta (prn)
to pretend to sleep,In tehlem (v)
"from house to house, every house",In tin (adv)
"to be in a romantic relationship, to be in love with each other (a man and a woman)",In ‘Di (n)
"the ember of fire, the sparkling red hot (wood, iron, etc)",Inai (n)
"incompatible, incapable of combination (as different drugs, etc), to disagree with one another",Inaihal (adj)
"alike, similar, identical, resembling, equal",Inang (adj)
"unlike, dissimilar, different",Inang lo (adj)
"difference, dissimilarity",Inang lona (n)
"similarity, resemblance",Inangna (n)
"slow, not in hurry, time consuming",Inawi (v)
to hush a child,Inawi (v)
to get entangle,Inawk (v)
to hang oneself to death,Inawkhlum (v)
to free (someone),Inawl (v)
"slanting, inclined",Inawn (adj)
a tree that is about to fall (after it is cut),Inawt (n)
"make to eat (mother to a child), to put or stuff (food) into each other’s mouth",Inba (v)
"to limp, to walk lamely",Inbâi (v)
"moving using the hand, to reach out the hand to another",Inban (v)
"resign, to resign, resignation",Inbân (v)
"to force feed, force feeding",Inbarlui (v)
giving someone something on credit,Inbattir (v)
placing (cloth) to someone’s shoulder,Inbâttir (v)
"to be linked together, to be hooked together",Inbâttuo (v)
bark (of dog),Inbauh (v)
to be near to each other,Inbauphak (adj)
wrestling,Inbaw (n)
"a swelling, to come into a bump, an excrescence",Inbawk (adj)
"bunch, bunching",Inbawr (adj)
the cry (sound) of lamb and kid,Inbe (v)
"leaning on someone’s (shoulder, chest)",Inbei (v)
"a fight, a combat, a conflict, battle",Inbeina (n)
"wear, to wear",Inbel (v)
"to be stuck, bound, joined, or tied together",Inbelbawm (v)
plump or chubby in looks or appearance,Inbèm (adj)
to settle oneself,Inbengbel (v)
"hide, to hide",Inbi (v)
"to talk, to have a talk, to converse with one another",Inbie (v)
"a conversation, an intercourse, a talk, a dialogue",Inbiekna (n)
"to take counsel, to consult each other",Inbiekrawn (v)
to whisper or speak to each other in a hush tone,Inbiekruk (v)
"of spherical in shape, round shape",Inbiel (adj)
to hide away oneself,Inbihmang (v)
"hide, hiding",Inbikruk (v)
the children’s game of ‘hide and seek’,Inbikruk siek (n)
to somersault,Inbingbilet (v)
"to single out each other and oppose one another, to stand up to one another (in game, battle, etc)",Inbitum (v)
"bushy, unkempt, hairy",Inbuk (adj)
