en,hmr
"I, my, me",Ka (prn)
opening of the mouth,Ka (v)
from me,Ka kuoma inthok (prn)
"to me, with me, along with me",Ka kuomah (prn)
mine,Ka ta (prn)
mine,Ka ta (prn)
exclamation,Ka tei! (intjn)
a sudden cry or remark of expressing surprise or strong emotion or pain,Ka tei! (intjn)
cabinet,Kabinet (n)
a syringe like play things of young boys,Kachik (n)
"a spot, a spot in river bank adjacent to a village",Kai (n)
"anything which facilitates climbing a tree, stairs, crossing a river; to be infected with, to catch or get (a disease from someone else) by infection; to attend school",Kai (v)
"a blot, a blotted spot",Kaidum (n)
prawn,Kaikuong (n)
to be indecisive and begin from the start again and again,Kaikuongpa rorel (v)
the kingfisher,Kaikuongral (n)
"a ladder, stairs",Kailawn (n)
name of a Hmar kindred (unau-suopui) tribe settled in Tripura,Kaipeng (n)
a term used by Hmars of NC Hills to call the Kacharis or Dimasas,Kairi (n)
a collective work style in traditional village jhum works,Kaisan (n)
inviting neighbours and friends for one’s jhum or other jobs,Kaisan fiel (n)
"to be promoted, to attend higher rank or position",Kaisang (v)
promotion,Kaisangna (n)
Caesar,Kaisar (n)
the steps leading up to a Hmar house,Kaitren (n)
the bend of the leg behind the knee,Kaiza (n)
"to lend a helping hand, to support",Kaiza veng (v)
"an attendant, a companion on a journey, a supporter, one who looks after another's interests",Kaiza vengtu (n)
sapling,Kak (n)
"split, rent, branch or fork (of a tree)",Kâk (adj)
"consequence, effect",Kakhawk (n)
a variety of wild tree,Kakphek (n)
a variety of wild tree,Kaksawk (n)
"a measure, a conical heap of rice the apex of which will be level with the tips of a man's fingers when standing with the arm raised high above the head",Kakzawn (n)
"the kidneys, a kidney",Kal (n)
"lock, to lock; to oppose, to contradict, to act contrary to",Kal (v)
"to walk, to take step",Kal pen (v)
"to march, a march, marching",Kal rem (v)
the joints of the two human limbs below the private parts,Kalak (n)
to move forward,Kalchawi (v)
rafters under the roof of a house running lengthways and lying immediately above the kalkhang,Kaldung (n)
calendar,Kalendar (n)
"trend, way, mode, manner, style, way of doing",Kalhmang (n)
rafters under the roof of a house running breadthways and lying immediately below the kaldung,Kalkhang (n)
to fasten a door so as to prevent one from going out,Kalkhum (v)
calculator,Kalkulator (n)
fare (of a public transport),Kalman (n)
stilts,Kalthret (n)
"the mouth, speech, conversation, talk, speech; a bank, a shore",Kam (n)
"to set a trap; to support from underneath, to prop up, to prevent rolling by wedging",Kam (v)
savory or pleasant to the mouth,Kam inden (adj)
to open the legs,Kam ka (v)
"to rebuke, to scold, a word or two",Kam khat (v)
with one’s whole might and power,Kam petin (adv)
name of wild plant,Kamantri (n)
a variety of wild tree,Kamatrek (n)
"anything eaten between meals, light refreshment",Kamcherek (n)
speaking forcefully,Kamchim na (n)
shirt (derived from a Hindi term of ‘kameej’),Kamis (n)
"to give hint, to give some clue",Kamkeu (v)
"scold, rebuke",Kamkhat (v)
"to help, to stand by or up for",Kamki (v)
campaign,Kampen (v)
see ‘kamcherek’,Kamram (n)
"to gossip, to be talkative, to divulge a secret",Kamtam (adj)
to smack the lips,Kamtep (v)
"we, our, us",Kan (prn)
"to visit, to pay a visit to",Kan (v)
"to step over, to cross over",Kân (v)
"dry, to decrease, to evaporate, to dry up",Kang (adj)
"burn, to burn",Kàng (v)
"to be raised off the ground, to be lifted off the ground",Káng (adj)
to burn down,Kang ral (v)
"to char, to burn, charred, burned",Kang ut (v)
a Hmar Thiek sub clan,Kangbur (n)
to dry up and cease to flow,Kangchat (v)
a name given to various kinds of hats or helmets,Kangdar lukhum (n)
"the crane, the saras",Kanghlai (n)
name of a thorny and poisonous plant usually found in the aftermath of a burnt jhum,Kanghling (n)
to clear a piece of forest after the undergrowth has been burnt and make it as an extended jhum without any further burning,Kanghreng (v)
"a fire, outbreak of fire",Kangmei (n)
"firemen, fire brigade",Kangmei threltu (n)
a species of domesticated big duck,Kangnga (n)
puffed rice cake popular in Manipur,Kangpuok (n)
the part of forest that is partially burnt out in a jhum fire,Kangsat (n)
name of a climber with dreadful thorn,Kangthrai (n)
a variety of wild tree,Kangtrek (n)
a time between the burning and the springing up of the first seeds,Kangvar (adj)
