en,hmr
the spleen; a virgin animal of feminine gender,La (n)
"take, bring, to receive",La (v)
"still, yet up to the present time",La (adv)
"to beat (an opponent) by sweeping the board, to win (a game) comprehensively",La cha (v)
"to remove, to take elsewhere, to take away",La hmang (v)
take out,La suok (v)
enlarged spleen; (v) to take down,La tla (n)
the other name of the Pawi tribe,Lai (n)
"the navel, the umbilicus; time, season, place about",Lai (n)
"the centre, the middle",Lai (adj)
awkward situation,Lài (adj)
much or a suffix to denote numbers (sawm lai zet an ni = they are ten in number),Lai (adv)
"to compassionate, to pity",Lai a na (v)
that or this very moment,Lai laiin (adv)
"at that very time, at that time",Lai takin (adv)
"about, somewhere about",Lai vel (n)
"among, with, along with",Laiah (prpn)
a sub clan under Hmar Lawitlang Hrangchal,Laiasung (n)
library,Laibrari (n)
the middle region of the belly,Laibu (n)
blood relatives (only father side),Laibung (n)
the closest relative of only the father side,Laibung bul (n)
related by blood or by other means,Laichin (adj)
"a poetic name of bayonet, javelin or spear",Laifei (n)
a Hmar Ngente sub clan,Laihring (n)
the umbilical cord,Laihrui (n)
an expression to tell or show close connection (as real brother or sister),Laihrui inzom (v)
"while, whilst, during, in the course of",Laiin (adv)
the name of a large hairy caterpillar,Laikap (n)
poetical term of the bed,Laikhum (n)
the chameleon,Laiking (n)
the quivering or simmering air caused by heat (the chameleon’s baking of earthen pot),Laiking bel raw (n)
the name of a climbing plant,Laiking châng dam (n)
to have offspring but not give enough care and attention (like a chameleon),Laiking nau nei (phrase)
the wagtail (a variety of bird),Lâilên (n)
stone thrown so as to skim along the surface of the water,Lailen tuipal (n)
the name of an evil spirit believes to enter the womb of a certain barren woman which results in the birth of a dwarf or a stunted baby,Lailenhuoi (n)
those abnormally stunted or slow in growing (caught by ‘lailenhuoi’),Lailenhuoi man ang (n)
"central, middle",Laili (adj)
a Hmar Ngente sub clan,Lailo (n)
"in the middle, before finishing",Lailok (adv)
middle,Lailung (adj)
"poetic word of enemy, human being",Laimi (n)
"the core, interior",Laimu (n)
"one who compassionates; a friend, a relative",Laina (n)
"to feel sorry for, to compassionate, to sympathize",Lainat (v)
"sympathetic, pitiful",Lainat um (adj)
"sympathy, compassion, pity",Lainatna (n)
a double-barreled gun,Laiphir (n)
cannon,Laipui (n)
"medium, middle, moderate",Lairawl (adj)
a species of rat,Lairawthel (n)
"interior, innermost, the core, the centre",Lairil (adj)
a variety of wild plant the leaf of which is used for Hmar traditional thatch roofing,Laisawral (n)
a Hmar Khawbung sub clan,Laising (n)
a blank paper,Laisui (n)
the monitor lizard,Laitang (n)
the name of a lizard,Laitel (n)
a Hmar Ngente sub clan,Laitui (n)
"to be of the same age group, to go about together",Laituol leng hmunkhat (v)
a female sister,Laizawn (n)
"take, to fetch, bring",Lak (v)
"to bring in, to take in, to admit, import",Lak lut (v)
against,Lakah (prep)
"in comparison with, than",Lakah (conjn)
to take and gather it together,Lakkhawm (v)
"to be engaged in doing something, to be in an incomplete condition",Laklaw (adv)
"to confiscate, to take away",Lakpek (v)
"copy, to take one from another",Laksawng (v)
"to take out, to bring out",Laksuok (v)
"a chief, a king",Lal (n)
a squirrel is the chief and important in the absence of chief or other leaders,Lal bovin hleimuolrang an lal (phrase)
to seek asylum in the chief’s house,Lal sutpui pom (v)
"to reign, to rule, to occupy the throne",Lala thrung (v)
"chieftainship, kingship, sovereignty",Lalna (n)
prince,Lalnau (n)
princess,Lalnaunu (n)
queen,Lalnu (n)
Lord (used to refer to God),Lalpa (n)
name of legendary folk Hero,Lalruong (n)
name of a wild shrub with bunches of violet berries,Lalruong bethri (n)
name of wild bird,Lalruong sehnawt (n)
"a path, a doorway, a way, direction",Lam (n)
"to pronounce, to mention, to speak of",Lam (v)
"to dance, to drill",Lâm (v)
the way it is pronounced,Lam dan (v)
"to get lost on the way, to be confused with the road that leads to one’s destination (n) one who has gone astray and turned negative",Lam inhmang (v)
"all the way, the whole way",Lam intluonin (adv)
on the way,Lam lakah (adv)
"a creeping and edible plant, Indian pennywort",Lambak (n)
the higher side of a hilly road (like a retaining wall),Lambak (n)
a government servant of grade IV ranks derived from Meitei word,Lambu (n)
"ambush, to ambush",Lambun (v)
a sub clan under Banzang clan of Hmar Darngawn,Lamchangte (n)
windy road,Lamkawi (n)
jackfruit,Lamkhuong (n)
"to change, alter, repent or turn back",Lamlet (v)
"a road, the main road",Lamlien (n)
"the parade ground, the drilling ground",Lammuol (n)
"road junction, a road diversion",Lampeng (n)
road junction,Lampet (n)
"roadway, path",Lampui (n)
to make a road,Lamsat (v)
earn (as salary or wage),Lamsuok (v)
a sub clan of Hmar Lusei,Lamthik (n)
"a branch road or path, the place where one path runs into another",Lamthre (n)
"the place where paths meet, crossroads",Lamthruom (n)
name of one of the eight dances performed during Sikpui festival,Lamtluong lam (n)
"top, children’s (boy’s) play",Lâmving (n)
dance floor,Lâmzawl (n)
"to usurp or take the place of, to supersede, to excel, to eclipse",Lan (v)
"appear, visible",Lang (adj)
"to become unpopular, to lose the esteem of others, to come into disrepute, to give place to, to float",Láng (adj)
take (present continuous form),Làng (v)
"obvious, evident, to appear plainly",Lang fie (v)
invisible,Lang lo (adj)
the oily part of meat when cooked,Langber (n)
the oily part becoming visible when cooked,Langber kai (v)
a Meitei term of a hoe used to plough fields,Langkawn (n)
a bamboo cup,Langkha (n)
"quite visible, prominent, famous, popular",Langsar (v)
transparent,Langtlang (adj)
in a transparent manner,Langtlang takin (adv)
transparency,Langtlangna (n)
