en,hmr
"to stop (crying), to give up (one’s position); divorce",Ma (v)
a Meitei originated term for a hamlet village,Machet (n)
salt,Machi (n)
sugarcane,Mafu (n)
sugarcane juice,Mafutui (n)
magazine,Magazin (n)
magistrate,Magistret (n)
a Hindi originated term for businessman,Mahajon (n)
"leftovers, remaining, which is yet to be done or not yet accomplish",Mahla (n)
the red pumpkin,Mai (n)
to search around using the hand,Mai (v)
"ash gourd, white pumpkin",Maibal (n)
an altar,Maicham (n)
the leaves of a red pumpkin and a staple Hmar vegetable,Maihna (n)
a basin,Maihun (n)
the stem of a red pumpkin - a staple Hmar dish item when cooked with ‘sathu-changal’,Maikuong (n)
to live with no regular source of income; to move on with whatever is available on the way,Maimarawl (adj)
the yellow flower of a red pumpkin – a staple Hmar dish,Maipar (n)
"to have one’s connection with anyone severed and to be left without any resources, remuneration, pensions, etc (like a pumpkin flower detach from its plan and taking nothing with it)",Maipar thlong (v)
"teasle gourd, spiny gourd",Maitamtok (n)
"wonderful, to be wonderful",Mak (adj)
a family sister’s husbands,Mák (n)
"to divorce one’s wife, to give up",Mâk (v)
the amount paid by a man to his wife as conformation of separation or divorce initiated by the man,Mâk man (n)
"wonderfully, miraculously, amazingly, remarkably",Mak takin (adv)
"to be amazed, to be filled with wonder, astonished, amazed, surprise",Mak ti (v)
name of an edible wild fruit of the strawberry family,Makei (n)
a variety of wild tree,Makhak (n)
a variety of wild tree,Makhang (n)
the joint area of the two human limbs,Makhe (n)
"certainly, without fail; obligatory, unavoidable, inevitable",Makmaw (adv)
"in such a way as to necessitate, in such a way as to compel",Makmawin (adv)
one’s daughter or sister’s husband,Makpa (n)
husband of the eldest daughter of a family,Makpa bul (n)
a man who goes to live in his wife's house,Makpa sungkhum (n)
"to leave behind, to leave, to give away when going away",Maksan (v)
"a million, ten lakhs",Maktaduoi (adj)
"single, alone, only",Mal (adj)
"a drop, a grain, a single one",Mal (n)
"the lap, the thigh",Mal (n)
exposing or defaming oneself due to one’s carelessness,Mal chunga sa chan (phrase)
"one at a time, one after another, one by one",Mal mal (adv)
to sing by oneself,Mal zai (v)
