en,hmr
"ear, the outside (of bamboos, etc), pain, ache, hurt",Na (n)
"to be sick, in pain, ache, hurt, pain",Na (v)
"painful, hurtful, boisterous, scorching, intense",Na (adj)
whence (but only when ‘na’ is a suffix of the previous word),Na chin (adv)
"for, for the purpose of",Na dingin (prep)
earwax,Na ek (n)
to have a purulent discharge from the ear,Na inbuo (v)
"just as, exactly as",Na na na (adj)
"to be stringy (as beans, etc)",Na nei (adj)
"wherever, wheresoever",Na phawtah (adv)
to listen carefully,Na sit (v)
to pretend not to hear,Na sukset (v)
to feel pain,Na ti (v)
to remember vividly sound or voices which once heard,Naa cham (v)
to hear with the ear,Naa hrie (v)
a woman’s earring,Nabe (n)
"common sense, instinct",Nachâng (n)
"to have the sense, common sense",Nachang hrie (v)
the ear drum,Nadâr (n)
name of conglomeration of tribe,Naga (n)
"the ribcage, the side (parts of human body)",Nâk (n)
over and above,Nak a lai (adv)
the side between the top of hip bone and the lowest rib,Nak nem (n)
"in addition to, over and above, moreover, besides",Nak sapah (adv)
the ear,Nakawr (n)
afterwards,Nakie (adv)
a short time ago,Nakie khan (adv)
a short time after,Nakie pha (adv)
"a rib, the ribs",Nâkru (n)
the ear hole,Nakuo (n)
otorrhoea,Nakuo inbuo (n)
"ear wax, cerumen",Nakuoek (n)
"nice, neat, tidy, stylish",Nal (adj)
"slippery, smooth, to be slippery, etc",Nâl (adj)
"to smear, to rub on",Nàl (v)
"nullah, a drain, drainage",Nala (n)
"okra, ladies’ finger",Nalduok (n)
"to push, to knock against",Nam (v)
"smooth, to be smooth",Nâm (adj)
"to smell of, to give forth a smell, to be high, to be strong smelling",Nam (v)
to push over the edge,Nam liem (v)
"ordinary, common, any sort of, every sort of, all sorts of",Namai (adj)
"not ordinary, worthwhile, superb",Namai lo (adv)
number,Nambar (n)
"No. 4, heroin, drug",Nambar 4 (n)
"to confirm, to reaffirm",Namdet (v)
"ordinary, common",Namen (adj)
"extraordinary, uncommon",Namen lo (adj)
it is very much,Nameu (adv)
"to approve, to ordain",Namnghet (v)
"approval, confirmation, ordination, verification",Namnghetna (n)
to do a thing anyhow even without seriousness,Namnûl (v)
a Hmar Biete sub clan,Nampui (n)
an elevated floor usually towards the lower side of a Hmar traditional house,Namthlak (n)
to push down,Namthlûk (v)
"to be in time, to meet",Nang (v)
"you, thou, thine, thee",Nang (prn)
thine (singular),Nang I ta (prn)
assail or set upon when at a disadvantage position,Nangching (v)
by you,Nangin (n)
"thou, thy, thee (singular)",Nangma (prn)
your (plural),Nangni (prn)
yours (plural),Nangni ta (prn)
"ordinary, common, any sort of, every sort of, all sorts of",Naran (adj)
nurse,Nars (n)
"exceeding, immense, intense",Nasa (adj)
"exceedingly, tremendously, vehemently",Nasa takin (adv)
deaf,Naset (n)
"deaf, a hearing impaired",Naset (n)
noisy,Naset um (adj)
the pear fruit (see also ‘perthei’),Naspati (n)
"pain, ache, pain, ill",Nat (n)
name of a wild tree,Nát (n)
"to disappoint, displease",Nathlep (v)
the earlobe,Natil (n)
"sickness, disease",Natna (n)
"disease, ailment",Natna (n)
child,Nau (n)
"the young of animals, birds, etc.",Nau (n)
to hush a child,Nau awi (v)
a lullaby,Nau awi hla (n)
to deliver a baby,Nau dom (v)
to attend a child,Nau don (v)
twins,Nau inphir (n)
to have a miscarriage,Nau insiet (n)
to give birth,Nau nei (v)
childless,Nau neilo (adj)
"to bear a child, to be pregnant",Nau pai (v)
"many children, a family with many children",Nau ruol (n)
an orchid,Nauban (n)
the placenta with its membrane,Naubawm (n)
a baby sitter,Naudontu (n)
to labour with child,Nauhase (n)
an adopted son or daughter,Nauhron (n)
a variety of wild tree,Naulai (n)
the eldest child,Naulutir (n)
the youngest child,Naumitlum (n)
a daughter,Naunu (n)
a son,Naupa (n)
"a child, a boy, a girl",Naupang (n)
childhood,Naupang lai (n)
"anything to give pleasure to a child (present or gift, etc)",Naupang lawm (n)
a young boy or girl,Naupangte (n)
twins,Nauphir (n)
a shawl used for carrying babies on one’s back,Naupuonpuok (n)
to deride or scoff at,Nausam (v)
"an infant, a tiny baby",Naute (n)
a very tender baby,Nautesen (n)
"the name of a small tree, the flowers of which grows along the branches",Nauthak (n)
hooks (earlobe),Naval (n)
not,Naw (adv)
"ending words to meant – do not, don’t",Naw ro (adv)
"ending words to meant – let he/she not, let it not, let them not",Naw sien (adv)
"under no circumstance, not at all, in no wise, not in the least",Naw top (adv)
"a harlot, a prostitute, a whore",Nawchizor (n)
not,Nawh (adv)
"small pieces, small change",Nawi (adj)
"again, once more",Nawk (adv)
"again and again, over and over again, repeatedly",Nawk hlak (adv)
more,Nawk zuol (adv)
in a large group,Nawlpui (v)
"carelessly, negligently, lightly, simply",Nawmna (adv)
repeat,Nawn (v)
repeat again,Nawn nawk (adv)
push,Nawr (v)
"to rub, to scour",Nawt (v)
to polish,Nawt tle (v)
a matchstick,Nawtchok (n)
a match box,Nawtchok bawm (n)
to clean by scouring or rubbing,Nawtfai (v)
a variety of big bean (the dry fruit of which is used to rub dishes when washing),Nawtfe (n)
a rough stone use to rub human skin or body,Nawtlung (n)
"ordinary, common, any sort of, every sort of, all sorts of",Nazong (adj)
"whenever, wherever",Nazongin (adv)
to suck (as babies do their mother’s breast),Ne (v)
"to get, to have, to obtain",Nei (v)
"one’s all, all what one have, all what one possesses",Nei po po (n)
the kind of thing one possesses,Nei zawng (n)
a sub clan of Hmar Lusei,Neichirh (n)
a Hmar Leiri sub clan,Neingaite (n)
"well to do, wealthy, prosperous, rich",Neinung (adj)
"only, the only one possesses",Neisun (adj)
a Hmar Zote sub clan,Neitham (n)
an owner,Neitu (n)
to press against with force,Nek (v)
to suck (the breasts),Nek (v)
"to oppress, to ill treat",Neksawr (v)
to cover with soil,Nel (v)
"to be used to, to be familiar with, to be not afraid of",Nel (adj)
name of the many non-fatal but playful spirit the pre-Christian Hmar believes to exist,Nelhau (n)
the disciples or followers of Nelhau,Nelhau rawihai (n)
intimately,Neltakin (adv)
"genial, friendly",Nelum (adj)
"soft, mild, weak, gentle, tender",Nem (adj)
name of a variety of Hmar women shawl,Nemrangpuon (n)
"the bosom, the breasts, udder, milk",Nene (n)
"a nipple, a teat",Nene hmur (n)
those who are still being fed with milk,Nene ne lai (n)
"to milk (a cow, etc)",Nene sawr (v)
the milk,Nene tui (n)
used to refer to those people who are too meticulous,Nenginnawi (n)
"small items, small particles",Nengnawi (n)
"childish, unworthy of",Nep (adj)
"to ask a smaller price higher than the right value, to offer a price than the one quoted",Nep (v)
"odd, petty and miscellaneous, small, tiny, little",Nepnawi (adj)
to forcefully go through (a fence),Ner (v)
to succeed in going through (a difficult test),Nerthleng (v)
fish,Nga (n)
five,Nga (adj)
"to have, to carry out, to accomplish",Nga (v)
a gathering of small fishes for spawning,Nga fuon (v)
a variety of fish,Ngabawng (v)
a variety of fish,Ngabuol (v)
a variety of fish,Ngachaiche (v)
a variety of fish,Ngachangpan (v)
a variety of fish,Ngachuon (v)
a variety of fish,Ngadawi (v)
a variety of fish,Ngadawl (v)
a variety of fish,Ngadawntriel (v)
a variety of fish,Ngahâr (v)
a variety of fish,Ngahra (v)
a variety of fish,Ngahrangchal (v)
"to listen, to obey, to take notice of, to think, to consider, to wait for, etc",Ngai (v)
"to long for, to long after an absent one",Ngai (v)
"the same, identical, not different",Ngai (adj)
to be restored to former condition,Ngai aw nawk (v)
not necessary,Ngai lo (adj)
not necessary; it’s OK,Ngai naw nih (n)
"to take it the other way round, to take offence at, to misunderstand",Ngai naw tienga ngai (v)
"never, at any time, not ever",Ngai nawh (adv)
listen! behold!,Ngai rawh! (intjn)
listen! hark! behold!,Ngai ta (intjn)
"to become accustomed, to get accustomed to, to take things for granted",Ngaia nei (v)
