en,hmr
"a father, a husband's father, a male, a masculine affix; mushroom, a fungus",Pa (n)
"unit (pa, sawm, za, sang = unit, ten, hundredth, thousand)",Pa (adj)
to act as the father or head of the house,Pa chan chang (v)
fatherless,Pa nei lo (adj)
the name of a variety of mushroom,Paarasi (n)
the name of a variety of mushroom,Paardang (n)
the name of a variety of mushroom,Pachang (n)
the name of a variety of mushroom,Pachokchawnor (n)
father and child,Pafa (n)
a family of just husband and wife or with young children in which only the husband is able to work,Pahmei (n)
name of a variety of mushroom,Pahnachang (n)
name of a variety of mushroom,Pahnaiput (n)
the name of a variety of mushroom,Pahnakhar (n)
clan or sub-clan,Pahnam (n)
two,Pahni (adj)
second,Pahnina (adj)
a stepfather,Pahron (n)
to put in one’s pocket or bag,Pai (v)
to hang (the strap of) a bag on one’s shoulder,Pai (v)
"to conceive, to have in one's inside or below the skin, to digest",Pai (v)
"stagger, stagger walk, walk not in an upright manner",Pai (adj)
"not fluent (in talks, conversation)",Pai (adj)
a Hindi originated term for loose pants,Paijama (n)
the name of a basket,Paikawng (n)
pioneer; road construction worker of the 1980s and 1990s,Painar (n)
the name of an edible fungus,Painthlung (n)
the name of a basket usually strapped around the waist,Paiper (n)
a paise,Paisa (n)
a 3 pie (money),Paisa dere (n)
the name of a tribe,Paite (n)
a Hmar Khawbung sub clan,Pajamte (n)
to inhale (cigarette),Pak (v)
a Hindi originated term for solid (structure) or document,Paka (adj)
a Hindi originated term for land documents of the highest value,Paka patta (n)
to go over to the side of another,Pakai (v)
to desert in order to join another; to join another party after deserting one's own,Pakai san (adv)
the name of a variety of mushroom,Pakhangbun (n)
one,Pakhat (adj)
"just one, only one",Pakhat char (adj)
one by one,Pakhat khatin (adv)
"none, not even one, not a single one",Pakhat khom (prn)
first,Pakhatna (adj)
a man who lives alone,Pakhatte (n)
a Hmar Thiek sub clan,Pakhumate (n)
a Hmar clan,Pakhuong (n)
nine,Pakuo (adj)
ninth,Pakuona (adj)
"to wade a stream, to wade a water body",Pal (v)
"unintentional, accidental",Pal (adv)
"an ambassador, an emissary, a go between",Palai (n)
"a ‘love letter’, middleman in love affairs between young men and young women",Palai bawngte (n)
"to send an ambassador (the term is mostly used when a boy’s family sent their ‘mak/makpa’ to a girl’s family for marriage proposal – in good times. And in bad times, when a family sent someone, usually again, their ‘mak/makpa’ to another family to resolves some disputes. The ‘palais’ usually go with a pot of wine in the past, and tea in the present days)",Palai tir (v)
"spinach, a variety of mustard",Palak (n)
a glass bottle,Palang (n)
a variety of non-edible mushroom with unbearable pungent smell,Palên (n)
four,Pali (adj)
fourth,Palina (adj)
a species of edible fungus,Paluong (n)
"sorry to let it go, that is being missed, regrettable, regretful",Pâm (adj)
see ‘chapchar’,Pamchap (n)
"sorry to loss, to be a waste",Pâmhmai (n)
a general assembly of all heads of family of a Hmar traditional village in the beginning of a year to discuss and select jhum site or any other relevant issues,Pamrorel (n)
"to leave without finishing, abandoning it, to leave unfinished or incomplete",Pâmthrul (v)
"to approach, to make for, to steer for, go towards",Pan (v)
"a sore, a wound",Pân (n)
"the body, the flank, the side (of a mountain, etc)",Pang (adj)
name of thorny species of tree with cotton like buds that grows on steep slope and cliffy areas and often refer to as a by product of disobedience,Pâng (n)
to be scare or afraid (to the point of a tickling skin),Pang inza (v)
one side (of a body),Pang khing (n)
five,Panga (n)
the term used to refer to the Muslims of Manipur which again is derived from Bengal or Bangal,Pangal (n)
a Hmar Khawbung sub clan,Pangamte (n)
fifth,Pangana (adj)
"bold, brave",Pangchang (adj)
"boldly, bravely",Pangchang takin (adv)
puncture (of vehicle or cycle tyre),Pangchar (v)
a portion of a bride price given to the kinsmen of the girl’s father,Panghak (n)
name of edible wild plant,Pangkai (n)
name of a wild tree with edible fruit,Pangkai (n)
while one is ‘naupang’ or child,Panglai (n)
the same,Pangngai (adj)
"not same; a half crack, one who is slightly below normal person",Pangngai lo (adj)
a sub clan under Hmar Thiek Vankal,Pangote (n)
