en,hmr
fruit of plant,Ra (n)
"effect, results",Ra (n)
fruitful,Ra nuom (adj)
a variety of wild tree,Rabil (n)
a temporary shelter in the jhum,Rabok (n)
"to conceive, to be or become pregnant",Rai (v)
to die in giving birth to an offspring,Raiche (n)
the name of a species of cane,Raichok (n)
a variety of wild creeper used to catch fish,Raiphak (n)
poetical term for poor,Raira (n)
"name of wild plant, the leaf used for roofing in traditional Hmar house",Raisaral (n)
a species of ant,Raise (n)
"with force, vehemently, with one’s might, as hard as possible",Rak (adv)
to grip using the fingers,Râk (v)
"to talk unnecessary and meaninglessly, to make a noise",Râk (v)
"not very much, not that",Rak nawh (adv)
"racquet (badminton, tennis, etc)",Raket (n)
"spirits, distilled local wine",Rakzu (n)
"to melt away, pass away, finish",Ral (adv)
"enemy, foe",Râl (n)
consoling bereaved family members in kind and words,Ràl (v)
the other side of,Ràl (n)
the enemy is at hand,Ral a lien (adj)
"at a distance, from a distance",Ràl anthok (adj)
"to fight the enemy, to battle",Râl do (v)
on the frontline of a battle,Râl hmatawng (n)
the head of the enemy,Ral lu (n)
"a warrior, one who distinguishes himself in battle",Râlhrat (n)
from a distance,Ralkang (adj)
"a warrior, a fighter",Ralkapmi (n)
from a distance,Ralkhat anthok (adv)
"to be falsely alarmed of a raid or an attack, a false alarm of a raid or attack",Ralkhel (n)
"the other side of (river), on the opposite bank of",Ràlkhing tieng (n)
"spoil, plunder, loot or body",Rallak (n)
to kill and enemy; to bring home the head of an enemy; to be a victor,Rallu lak (v)
"to be safe, secure, free from danger or enemy",Ralmuong (v)
"safety, security, peaceful place, place of safety",Ralmuongna (n)
contribution of money or other items towards a bereaved family,Ralna (n)
name of a creeper with curled up hook-shaped thorns,Ralsamkuoi (n)
a Hmar Thiek sub clan,Ralsun (n)
"armour, arms, weapons, military equipment",Ralthuom (n)
"to be in danger because of enemy, not at peace",Raltri (v)
to keep guard,Ralveng (v)
"a watch house, a duty post, a blockhouse",Ralveng buk (n)
"a sentry, a scout",Ralvengtu (n)
"forest, country, homeland, land",Ram (n)
"to plunder, to ravage, to annihilate, to destroy, to put out of existence",Ram (v)
"deserted, abandoned",Ram (adj)
a jungle fowl,Ram ar (n)
a wild yam,Ram bahra (n)
"the mountain sheep, the chamois",Ram beram (n)
the name of a variety of wild cockroach,Ram chukchu (n)
the wild goat,Ram kel (n)
the name of a white insect,Ram kelchal (n)
the antelope,Ram lawi (n)
name of a species of ‘lailên’ bird,Ram lênchîm (n)
a wood pigeon,Ram parva (n)
"a wild gayal, a wild mithun",Ram siel (n)
to open up land for cultivation of homestead land by village chief or concern authority,Ram thret (v)
"another country, a foreign country",Ramdang (n)
"a foreigner, an outlander",Ramdangmi (n)
a huge virgin forest,Ramhmangpui (n)
"forest, jungle",Ramhnuoi (n)
a rebel (who move out from one’s house) and hid outside (jungle),Ramhnuoimi (n)
"an evil spirit, a ghost, a devil, a demon",Ramhuoi (n)
to stay with the jungle with some purpose,Rammu (v)
the virgin wild forest,Rampui (n)
name of a species of bird,Rampuivâ (n)
"boundary, frontier, border, demarcation line",Ramri (n)
to draw a boundary line,Ramri khang (v)
a boundary pillar,Ramri lungphun (n)
wild animals,Ramsa (n)
"to hunt, to go hunting",Ramsuok (v)
a hunter,Ramsuokmi (n)
death of a young baby (say less than a year) not covered under ‘hlamzui’,Ramte thi (n)
different things,Ramtin (adv)
different things or items,Ramtin-ramtang (adj)
"one who is adventurous in the jungle, one who is fond of life in the jungle",Ramvachal (n)
"domesticated animals, poultry, etc",Ran (n)
"to ‘do’ without fail, with sure",Rân (adv)
"grazing ground, pasture land",Ran tlatna hmun (n)
"okra, ladies’ finger",Ranal (n)
father’s sister’s husbands,Rang (n)
"quick, swift, speedy, nimble",Rang (adv)
"slightly spotted, blotched, mottled, having a few patches of white, piebald, etc",Râng (adj)
"gold, golden",Rangkachak (n)
El Dorado,Rangkachak ram (n)
a species of hornbill bird,Rangkêk (n)
name of a Hmar kindred tribe settled in Tripura,Ranglong (n)
