en,hmr
"meat, flesh; an animal, a beast",Sa (n)
"thick (as wood); hot, fiery",Sa (adj)
"ready and already, an affix signifying already made or done",Sa (adv)
"sausage like pudding made with blood and spices filled in the large intestine (pig, dog)",Sa thithun (n)
the dead body of an animal the slayer of which or the cause of death of which is unknown,Sa tlaw (n)
a piece of meat or flesh,Sa tlin (n)
a peace accord of two warring parties wherein a dog is being killed and a small feast arranged,Sa uitan (n)
to perform a ceremony so as to get power over the spirit of the animal one kills during his lifetime on to life after death,Saa inei (v)
the different parts of cooked animal meats prepared for witnesses of a traditional marriage (2 or 3 from both the parties),Sabar (n)
"eating ""sabar"" (n) those who are part of the ""sabar"" team",Sabar fa (v)
"the village boy’s share of ""inchong"" feast (it mainly consists of the leftovers of the proper feast. If there is not enough leftover, a fresh one will be prepared for them)",Sabe bu (n)
"an ass, a mule",Sabengtung (v)
soap,Sabon (n)
a hole where animals wallow,Sabuol (n)
the name of a variety of wild plant,Sabuol hlo (n)
a chewing tobacco,Sada (n)
"the name of fence or barrier with apertures at intervals in which noose traps are set for animals such as deer, wild boar, etc",Sadai (n)
"name of a noose trap for catching wild boar, deer, etc",Sadal (n)
shoulder part of an animal reserved for village chiefs,Sadar (n)
priest employed by chiefs,Sadawt (n)
the Hindu priest or Saddhus,Sadu (n)
Sadducees,Sadukai (n)
name of a small animal resembling a marten,Safie (n)
a species of monkey,Saha (n)
a variety of wild tree with non-edible fruit,Sahatra (n)
a wounded animal (wounded by a hunter or trap),Sahliem (n)
"to trace or track ""sahliem""",Sahliem hnot (v)
name of a small animal of mongoose species,Sahmaithra (n)
"fur, the hair of animals",Sahmul (n)
woollen cloth,Sahmul puon (n)
"an otter, a semi-aquatic fish-eating mammal",Sahram (n)
"the generic name of the more ferocious wild animals (tumpang, nghalchang, tiger, lion, elephant, etc)",Sahrang (n)
half of a four-legged animal excluding the head and inside portion but including the tail given to the boy’s family by the girl’s in Hmar traditional marriage ritual,Sahrap (n)
"oil, grease",Sahriek (n)
fresh red meat,Sahring (n)
the slow-paced lemur; a carnivorous animal,Sahuoi (n)
to persistently and diligently bow down and continue to move,Sahuoi ni do (v)
"zoo, zoological garden",Sahuon (n)
an elephant,Sai (n)
"to tease, to make fun of, pull somebody’s leg",Sai (v)
to straight ahead regardless of the obstacles and dog barks on the roadside,Sai lam lawna lawn (v)
a deathly poison applied on spear points,Sai tur (n)
name of one of the eight dances performed during Sikpui festival,Saia ketet lam (n)
a turkey,Saiar (n)
a Hmar Zote sub clan,Saiate (n)
a type of rain,Saichong ruo (n)
"a glass bottle, a vial",Saidawum (n)
"elephant tusk, ivory",Saiha (n)
"a sling, a catapult made of rubber and wood; a pellet bow made of split bamboo",Saihli (n)
a water leech,Saihlit (n)
"a clay pellet (ball) for ""saihli""",Saihlum (n)
a Hmar Zote sub clan,Saihmang (n)
syphilis,Saihri (n)
chronic syphilis,Saihri benvawn (n)
a jute rope,Saihrui (n)
an elephant trap (a pitfall),Saihum (n)
to use as a temporary base,Saiinsang (v)
"sack, a gunny bag",Saiip (n)
"to cover oneself with sack clothes or gunny bag clothes, a biblical occurrence of total sadness and regret",Saiip puon sil (v)
a bicycle,Saikal (n)
"to ponder upon two things, to consider two options",Saikar (v)
poetical term for one’s current young lover,Sailai D (n)
the name of a white stone,Sailungvar (n)
the name of a flowering tree,Sailutar (n)
the name of a tree,Saiman thing (n)
"elephant’s tusk, ivory",Saingho (n)
a Hmar Ngurte sub clan,Saingur (n)
science,Sains (n)
where or which one use as a temporary base,Sainsangna (n)
name of a variety of mouse,Sairal (n)
"wormwood, a woody shrub with a bitter aromatic taste",Sairam (n)
the name of a species of creepers like bamboo,Sairil (n)
"complicated, irrelevant",Saisa (adj)
poetical term for young baby,Saisen (n)
name of fruit (citrus family),Saiser (n)
to whistle through the teeth,Saisik (n)
"the oak tree, the great tree",Saisuo (n)
a species of banana plant,Saisuo (n)
"the stem of ""saisuo"" which is a much-loved curry item",Saisuo kawr (n)
an oak tree,Saisuo thing (n)
a Hmar Faihriem sub clan,Saivate (n)
to sing (a song),Sak (v)
"higher up, east, etc",Sak (adj)
"to compose a name, to give name of a baby",Sak (v)
to fix a selling price or rate,Sak (v)
to spit from the mouth,Sâk (v)
the uppermost,Sak tak (adv)
