en,hmr
"stitch up, to plait (using split bamboo or cane)",Ta (v)
mine (denoting ownership or possession); (ka ta = mine; I ta = yours),Ta (prn)
to treat a thing as one’s own,Ta bawl (v)
same as ‘ta bawl’,Ta chei (v)
for (ka ta ding = for me),Ta ding (prepn)
have already,Ta hnung (v)
a singular verbal ending (hung ta la – come/single),Ta la (-)
"no more, no longer",Ta nawh (v)
a plural verbal ending (hung ta unla – come/plural),Ta unla (-)
tabernacle,Tabernekul (n)
denoting past tense or the action being completed (ka fak ‘tah’ = I’ve eaten; ka hmu ‘tah’ = I’ve seen),Tah (adv)
"the lower extremity of the bowels, the rectum",Tai (n)
"to be at enmity with, to hate",Tai (v)
"rosy, ruddy (as cheeks)",Tai (adj)
the lower bowels or rectum area,Taibawr (n)
the left out or discarded rice from which beer is brewed,Taife (n)
to push or butt or gore with the horn or tusk,Taih (v)
"to be at loss on what to do, bewildered",Taihai (v)
a butt for holding pigs' foods made of a hollowed-out of tree trunk,Taikuong (n)
to spent all what one has even to the point of selling off one’s pig – a domesticated animal almost every household have in traditional Hmar village family,Taikuong inkhup thrakin (phrase)
"diligent, industrious, energetic",Taima (adj)
"diligently, laboriously",Taima takin (adv)
same as ‘taima’,Taimak (adj)
"diligence, industriousness",Taimakna (n)
the soft region of the lower part of the abdomen,Tainem (n)
name of wild fruit,Taitaw (n)
to tear or rip up with the horn or tusk,Taithler (v)
title,Taitil (n)
cane,Taiting (n)
"to wear in the belt (as a dagger), to keep in the belt (as money)",Taivon (v)
"appreciable in size or quality (for plants such as potatoes, yam, etc)",Tak (n)
"true, real, actual, genuine",Tak (adj)
"very, really, exactly, the most; a superlative term (eg- a lien tak = biggest)",Tak (adv)
really exactly,Tak meuh (adv)
"really, exactly, true, genuinely",Tak tak (adv)
the term used to refer to the Chakma tribe,Takam (n)
"nothing, no substance",Takbo (adj)
"perhaps, by chance",Takduoiin (adv)
like ‘ly’ in English (inrang takin = quickly; muong takin = slowly),Takin (adv)
