en,hmr
an abbreviated form of vate,Va (n)
an abbreviated form of ‘lava’ – term for a woman for her brothers’ children,Va (n)
"verbal prefix signifying going, generally on level ground, or from one place to another of equal elevation (va la rawh = to go and fetch)",Va (prefix)
the crow,Vaak (n)
a spreaded bamboo planted on the head side of a death body,Vaak bau (n)
the name of a species of hornbill,Vaawk (n)
the night jar,Vabak (n)
name of a species of bird,Vabawng (n)
name of a species of bird,Vabekvar (n)
the bulbul,Vaber (n)
name of a species of bird,Vabuong (n)
a heron,Vacha (n)
name of a small bird,Vachedek (n)
"snipe, name of bird",Vachirdawt (n)
"a stream, a river",Vadung (n)
source of a stream or river,Vadung hnar (n)
a species of hornbill,Vahai (n)
the hill partridge,Vahla (n)
a species of flying squirrel,Vahlup (n)
name of a species of bird,Vahnakhawr (n)
name of a species of bird,Vahrâng (n)
the black pheasant,Vahrit (n)
a wood pigeon,Vahui (n)
name of a species of bird,Vahuong (n)
"to wave, to wave back with the hand, to wave the arm or anything horizontally",Vai (v)
"a term used to name Bengali and other Hindi speaking mainland Indians (the term sometimes appears to be racist or derogatory, it is not so as it is derived from the Hindi word ‘bhaia’ which means ‘brother’)",Vai (n)
"to feed, to make someone eat",Vai (v)
to keep or rear or tame (domestic animals),Vai (v)
"to kill by poisoning someone’s food or drinks, to poison to death",Vai hlum (v)
"to spare nothing, to cut down everything",Vai hmat (v)
flag off,Vai liem (v)
the time when the English made expedition to Hmar areas of Manipur and Mizoram in the late 19th century,Vai lien (n)
to make someone drink and get drunk,Vai rui (v)
Hindi language,Vai trong (n)
"hibiscus, the roselle plant",Vaianthur (n)
name of a flowering wild tree,Vaibe (n)
a man's smoking pipe,Vaibel (n)
"nicotine, the ashes of a smoking pipe",Vaibel ek (n)
the projection on the bowl of a Hmar man's pipe immediately below where the stem enters,Vaibel til (n)
"one crore, ten million",Vaibelsie (n)
"ten crore, a hundred million",Vaibelsietak (n)
rice imported from mainland India,Vaibu (n)
a species of rice,Vaibuchal (n)
a variety of trap,Vaichang (n)
a large tray for holding the chaff and bran when husking,Vaidaw (n)
the finer chaff and bran of rice after husking,Vaidi (n)
melon,Vaifanghma (n)
